Date,Round,Amount
2015-06-09,Seed VC,
2015-08-20,Series A,
2016-08-04,Series B,550
2017-07-05,Series C,150
2018-01-18,Series D,1500
2018-04-11,Series E,35
2018-09-05,Incubator,
2019-02-01,Series F,1000
2019-03-04,Series F-II,100
