Date,Round,Amount
2011-04-08,Series A,
2012-05-15,Series B,
2013-06-12,Series C,
2014-10-22,Series D,100
2016-04-08,Series E,147
2017-08-17,Series F,1100
2018-12-12,Series G,1100
